Stock,Date,Signal,Close,Volume,SMMA_20,SMMA_120,SMMA_DIFF,MOMENTUM_5D,MOMENTUM_10D,VOLATILITY_20D,RETURN_5D,Profitable
COALINDIA.NS,2018-09-18,-1,273.20001220703125,6420009.0,279.3825788026568,279.6298220105727,-0.2472432079159148,-2.288982030320452,-5.023459758755699,1.503641879121514,0.2379298627446293,1
COALINDIA.NS,2019-06-27,1,259.3999938964844,13174124.0,252.8609799721278,252.85881830999392,0.002161662133886466,-0.36489809285947805,1.486693154236396,1.400625350472195,-3.199686965405607,0
COALINDIA.NS,2019-07-01,-1,249.25,4839632.0,252.72503456980382,252.83652267020716,-0.11148810040333501,-2.921129503407982,-2.369762232447481,1.5361557566458237,6.760283291280091,1
COALINDIA.NS,2021-03-10,1,150.9499969482422,10788943.0,143.0178747914765,142.96091737165386,0.05695741982262348,-2.550030409221238,4.5360133854668305,2.669337159594816,-9.208343277575826,0
COALINDIA.NS,2021-03-19,-1,136.3000030517578,33294812.0,142.81811325314834,142.94532465673217,-0.12721140358382854,-9.435213919097796,-10.3584345175177,2.7513770690056365,4.915624943675143,1
COALINDIA.NS,2021-06-01,1,147.60000610351562,9307143.0,141.27389469644282,141.0259473462817,0.24794735016112668,0.1017356109719536,0.7852572067173602,2.7475875681282123,5.6910525400610394,1
COALINDIA.NS,2021-08-25,-1,138.85000610351562,7817617.0,142.92444471872693,142.9543008446494,-0.029856125922464116,-0.28724875869613475,-2.3558304617586567,1.214175741339245,-3.8530720990664062,0
COALINDIA.NS,2021-09-06,1,146.35000610351562,9712271.0,143.04146551953042,142.95883850583195,0.08262701369847036,1.915041701333653,9.257192562732763,1.7386482115887818,5.705494018784314,1
COALINDIA.NS,2024-12-05,-1,418.3999938964844,9500273.0,439.1114745151568,439.26528196175155,-0.15380744659478296,0.7707084767274885,3.054185688789257,1.2252208559441506,2.2227504609547495,1
COALINDIA.NS,2026-01-06,1,427.04998779296875,6308113.0,393.50458963295284,392.96722406321857,0.537365569734277,7.298991907781094,10.563103635720061,1.7146011035103843,0.4332059844039842,1
